speciality,location,name,experience,clinic_name,doctor_address,consultation_fee,recommendation_percent,patient_stories,doctor_url,contact_number,detailed_qualifications
Cosmetologist,Chennai,Dr. Jyothsna,14,"Curves Cosmetic Surgery, Skin & Laser Clinic","Saligramam,",800,95%,289,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Snehalatha,20,Nila Skin Care Clinic,"Selaiyur,",1000,92%,641,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Prof.Venugopal Reddy,31,Apollo Hospital,"Greams Road,",2100,96%,100,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Lakshmi Durga M,20,Oliva Skin & Hair Clinic,"Anna Nagar,",900,99%,149,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Bharathi R,19,"The Aesthetic Studio,Cosmetic & Plastic Surgery","Perungudi,",500,94%,18,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. K Uma Maheswari,23,Shreya Medical Centre,"Anna Nagar West,",750,94%,17,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Hari Priya A,8,Oliva Skin & Hair Clinic,"Anna Nagar,",900,98%,107,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Sowmya Dogiparthi,16,Apollo Spectra Hospital,"Alwarpet,",1000,97%,37,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Daphney Gracia Antony,10,Belleza 360 Aesthetic & Anti-Ageing Centre,"Radhakrishnan Salai,",1500,100%,1,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Ganga Ravikumar,35,Dermis Skin & Hair Clinic,"Adyar,",800,97%,644,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Aarthi Lakshmanan,22,Aarthi Skin Care Clinic,"MRC Nagar,",1250,93%,1413,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Nivethitha S,9,Oliva Skin & Hair Clinic,"Anna Nagar,",900,99%,98,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Jansi Priyadharshini,10,Family Clinic,"Porur,",750,100%,7,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Cordelia Babitha,21,Avira Skin and Hair Clinic,"Besant Nagar,",800,100%,126,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Senthil Sivaprakasam,20,Radiance Skin And Hair Care,"Kilpauk,",700,99%,137,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Deepthi Motiram,17,Apollo Clinic,"Velachery,",900,92%,60,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Latha A Muthu,11,Oliva Skin & Hair Clinic,"Adyar,",900,95%,20,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. KG Divya,12,Avaderma Skin & Hair Clinic,"Alwarpet,",700,Not available,Not available,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Nivedita Raveendran,11,Dr. Nivedita Skin and Hair Clinic,"Adyar,",600,93%,74,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Lakshmi M,21,Oliva Skin & Hair Clinic,"Anna Nagar,",900,99%,134,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Nivvedhetha Senthilnathan,2,Oliva Skin & Hair Clinic,"Anna Nagar,",900,Not available,Not available,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Tejaswi Cherukuri,12,Tera''S Speciality Clinics,"Neelankarai,",650,93%,15,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Pavithra T R,6,Oliva Skin And Hair Clinic,"Alwarpet,",900,Not available,Not available,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Meenakshi M,13,Oliva Skin And Hair Clinic,"Alwarpet,",900,99%,110,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Shraddha,22,Apollo Hospital,"Greams Road,",2000,94%,89,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Harshitha Munamala,9,Oliva Skin & Hair Clinic,"Anna Nagar,",900,100%,14,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Bhuvanashree N,11,BUVIIS DERMAGICALZ,"Adyar,",1000,99%,167,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. T Rajinikanth,23,BM  Clinic,"Nanganallur,",1500,95%,421,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Sasikumar Muthu,24,Pearl Health,"Alwarpet,",1500,99%,480,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Radha Subramaniyan,12,Spade Skin & Aesthetics,"T Nagar,",1000,97%,35,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Mythreyi Rajendran,10,"Milir Skin, Hair and Laser Clinic","Ashok Nagar,",500,100%,9,Not available,Not available,Not available
Cosmetologist,Chennai,Dr. Benedit Regi,16,ECR Multispeciality Clinic,"Palavakkam,",600,Not available,Not available,Not available,Not available,Not available
