speciality,location,name,experience,clinic_name,doctor_address,consultation_fee,recommendation_percent,patient_stories,doctor_url,contact_number,detailed_qualifications
Cosmetologist,Gurgaon,Dr. Jyotirmay Bharti,18,Square Root - Hair | Skin | Laser Clinic,"Gurgaon Sector 52,",1000,92%,1132,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Amit Bhasin,16,Privé Skin and Wellness Clinic,"DLF Phase IV,",1200,91%,116,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Dwaraka Pallavi,15,IRIS Inspiring Healthcare,"DLF Phase IV,",1000,100%,16,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Niti Gaur,21,Citrine Clinic,"Gurgaon Sector 15,",2000,94%,1235,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Jyoti Malik,26,Kutiz Skin & Laser Clinic,"Gurgaon Sector 38,",1200,96%,514,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Anwesha Poddar,16,"Dr Anwesha Poddar''s Skin, Laser & Hair Clinic","Sushant Lok I,",1500,94%,1030,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Deepika Kaushik,34,Dr. Deepika''s Complete Family Clinic,"South City-II,",900,95%,231,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Gargi Taneja,9,"Dr. Gargi''s  Skin, Hair,  Aesthetics Clinic","Gurgaon Sector 26A,",1000,99%,81,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Preeti Yadav,14,Konarc Aesthetics,"Gurgaon Sector 57,",1000,100%,86,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Neha Sharma,5,Skyn Stories By Dr. Meenu Sethi,"Gurgaon Sector 63,",800,98%,40,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Sanchi Gupta,9,The Derma Clinics,"Gurgaon Sector 28,",1200,94%,72,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Savita Yadav,22,Skin Care World Clinic,"Gurgaon Sector 51,",1200,98%,812,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Naina Jain,13,Dr. Naina''s SNH Centre,"Gurgaon Sector 56,",1000,92%,25,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Jasdeep Kaur Malhotra,20,Skin Aura Brain & Spine Neuro Centre,"DLF Phase IV,",1600,94%,425,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Anukriti Yadav,5,Skyn Stories By Dr. Meenu Sethi,"Gurgaon Sector 63,",800,100%,12,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Shuchi Singla,18,"Dermapoint-Skin, Hair and Laser clinic","Gurgaon Sector 15,",600,85%,765,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Dikshak Chawla,11,Arka Skin Clinic,"Gurgaon Sector 49,",600,96%,98,Not available,Not available,Not available
Cosmetologist,Gurgaon,Ms. Madhu,10,"Dr. Madhu Tanwar Weight Loss, Wellness and Physiotherapy Clinic","DLF Phase II,",700,93%,30,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Vishal Agrawal,11,Vish Skin Clinic,"Gurgaon Sector 56,",1000,98%,53,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Daisy Ahluwalia,8,Square Root - Hair | Skin | Laser Clinic,"Gurgaon Sector 52,",800,100%,1,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Pragya  Punj,11,Dermabliss - Skin Hair and Laser Clinic,"Gurgaon Sector 52,",1000,96%,69,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Aishani Garg,6,Evoke Hair  Clinic,"DLF Phase I,",499,Not available,Not available,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Nainika Goel,9,Skinfinity Derma,"Gurgaon Sector 28,",1000,100%,50,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Vinay Singh,30,Vibrance Skin Clinic,"Gurgaon Sector 57,",2000,92%,763,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Meenu Sethi,19,Skyn Stories By Dr. Meenu Sethi,"Gurgaon Sector 63,",1500,98%,775,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Anjali Pal,15,Miracles Mediclinic,"Gurgaon Sector 56,",1000,100%,1,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Ruben Bhasin,13,CK Birla Hospital,"Gurgaon Sector 51,",1200,94%,32,Not available,Not available,Not available
Cosmetologist,Gurgaon,Dr. Seema Oberoi Lall,26,CK Birla Hospital,"Gurgaon Sector 51,",1200,96%,100,Not available,Not available,Not available
