speciality,location,name,experience,clinic_name,doctor_address,consultation_fee,recommendation_percent,patient_stories,doctor_url,contact_number,detailed_qualifications
Cosmetologist,Kolkata,Dr. Nidhi jindal,20,Oliva Skin & Hair Clinic,"Salt Lake,",900,97%,90,Not available,Not available,Not available
Cosmetologist,Kolkata,Dr. Debatri Datta,10,Oliva Skin & Hair Clinic,"Salt Lake,",900,97%,159,Not available,Not available,Not available
Cosmetologist,Kolkata,Dr. Barnali Dutta,29,Oliva Skin & Hair Clinic,"Jodhpur Park,",900,95%,135,Not available,Not available,Not available
Cosmetologist,Kolkata,Dr. Dipayan Das,14,The Healers Multispeciality Homeopathy and Aesthetic Clinic,"Garia,",1000,91%,23,Not available,Not available,Not available
Cosmetologist,Kolkata,Dr. Farhat Fatima,9,Oliva Skin & Hair Clinic,"Jodhpur Park,",900,100%,23,Not available,Not available,Not available
Cosmetologist,Kolkata,Dr. Avik Ghosh,11,Oliva Skin & Hair Clinic,"Park Street,",900,95%,55,Not available,Not available,Not available
Cosmetologist,Kolkata,Dr. Archana Bhowmik,12,Oliva Skin & Hair Clinic,"Park Street,",900,100%,46,Not available,Not available,Not available
Cosmetologist,Kolkata,Dr. Rajendrani Mazumder,9,Oliva Skin & Hair Clinic,"Salt Lake,",900,100%,30,Not available,Not available,Not available
Cosmetologist,Kolkata,Dr. Aarti Sarda,18,Manipal Hospitals (AMRI Hospitals),"Dhakuria,",1000,91%,225,Not available,Not available,Not available
Cosmetologist,Kolkata,Dr. Khushbu Tantia,12,La Derma Skin & Hair Clinic,"Salt Lake,",900,87%,86,Not available,Not available,Not available
Cosmetologist,Kolkata,Dr. Priyanka Aggarwal,16,Re-Incarnation The Complete Skin Care Clinic,"New Town,",1000,91%,65,Not available,Not available,Not available
Cosmetologist,Kolkata,Dr. Vivekananda Majumdar,46,Dr. Vivek Majumdar Clinic,"Tangra,",1500,44%,18,Not available,Not available,Not available
Cosmetologist,Kolkata,Dr. Asad Ansari,14,Dr. Paul''s Multispeciality Clinic Pvt Ltd,"Rash Behari Avenue,",1000,50%,6,Not available,Not available,Not available
Cosmetologist,Kolkata,Dr. Aakash Sengupta,9,EPTA Clinic,"Lake Gardens,",1500,83%,6,Not available,Not available,Not available
Cosmetologist,Kolkata,Dr. Rajib Roy,20,Oliva Skin & Hair Clinic,"Salt Lake,",900,98%,131,Not available,Not available,Not available
Cosmetologist,Kolkata,Dr. Ashwini S Tatawati,8,Oliva Skin & Hair Clinic,"Park Street,",900,100%,60,Not available,Not available,Not available
Cosmetologist,Kolkata,Dr. Shelly,8,Apollo Cosmetic Clinics,"New Town,",850,83%,30,Not available,Not available,Not available
