doctor_name,rating,rating_count,experience,consultation_fee,clinic_address,specialization,registration,qualification,phone_number,detail_url,location,category
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.160108114918.Q2H6,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.160108114919.E5G5,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044P4095193,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.120821145819.J7M4,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170124220151.C7U3,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.150727213229.M7I3,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.180417201838.N8F5,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.220903031219.D6X3,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170804185533.E2F2,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.110427121842.E8V7,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.140217185748.W2M4,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PV000278,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.100903102832.J5X5,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170124225458.Y1H7,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.181018160126.C5H9,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.141121234510.M5S7,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PF004657,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.140730115719.I1J1,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.130226185720.X2Q2,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.110607100222.W5M9,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.150518130111.J9Q9,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170520121408.H6Z2,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.180614193743.P3J8,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.090724171235.T1A8,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170113211340.J6D9,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.180326140515.V6L9,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170804183104.Y4P6,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.140217153709.K6V2,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.200811030943.V1D4,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170614160854.Y1C6,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.180216211025.D3D4,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.090605211616.C6G2,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.140510133552.T7L3,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.200811032654.H6X8,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.161031192251.U6T1,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.150602144537.V3J4,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.191019212940.N7P6,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.130822121304.G3B7,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.190814090048.P6U1,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PCLR20090222IRO312942282,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170124215537.M6X1,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.110505164510.X8T7,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.210624135916.C4V3,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.181204141608.U4E4,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170124210220.S8X2,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.140510113933.X6X4,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.191001190530.C2A5,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170124223449.F4K3,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.160209161110.W2Z8,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.191019213507.C7Y8,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.180925120054.X1E7,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.140509154642.Y8U3,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.190612091954.B1U6,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.180216203110.X9U2,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.140816182326.X3V7,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.150803173150.O5B5,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.191204051516.D5A6,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.191204005114.F6Z3,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.220422035122.E2M3,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.160108114918.H7E3,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.160108114918.I2D1,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170124215759.U2V6,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.181204150705.A9H8,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170113212121.T3V4,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170124223427.Y2Q2,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.160108114918.I7S4,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170124222725.U7C8,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.220422043939.H4H6,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.190614223357.I7R2,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170217170154.X7F4,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170124221443.P4U9,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.141112104514.S5G4,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170124215810.H2B2,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.120306170935.M3P2,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170113211124.F3Y8,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170804181153.Q4Q3,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.170804181143.Z8K8,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.231103160713.Q9U9,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.230818200256.K2L9,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.211119052806.R7T4,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.160108114918.R1I3,Chennai,IVF
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Chennai/viewid-044PXX44.XX44.191019213949.R5Y4,Chennai,IVF
