location,category,doctor_name,rating,rating_count,experience,consultation_fee,clinic_address,specialization,registration,qualification,phone_number,detail_url
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.230108223352.I4S9
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220112172701.Q4L2
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.230403160141.F2B1
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220317225900.H2E9
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220420214529.X8Q7
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220420214648.R9R1
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.221020222320.L4M5
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.221020222358.J5Z4
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220414232640.U4B9
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.221020212004.R4R5
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220426175210.Y2C3
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.230607125939.G2T4
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220420223859.L1T1
