location,category,doctor_name,rating,rating_count,experience,consultation_fee,clinic_address,specialization,registration,qualification,phone_number,detail_url
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PCLR20090327IROQ72702540
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.131014180614.F3A3
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.190820154336.G7F8
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140430171152.W6Y6
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.170811090344.D9H5
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140607162035.G7P9
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PB016096
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.211211124757.Y6W9
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.130721204959.M8Z2
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140429122551.H1M6
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PB016651
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PCLR20090222IROI143278758
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.150727191730.M8G4
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.150810194118.B7Z4
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.141222091839.H8F5
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.151128171202.I5U4
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.200811113816.F8V8
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.201127125933.P5Z1
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140419184217.H6J7
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.130902121558.W5N7
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.130725094022.U9Y6
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.220330112121.F4M2
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.200306125732.T8S6
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022P1235202429V2Y9D8
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022P6400486
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PK054974
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.120427115604.S2H7
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.190819103003.N7I5
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.120107130508.L7Z8
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.151127104029.Q9G2
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140420171412.I7Y1
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.120606161937.G3Z7
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140422104542.G1G5
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.200704204021.B9B7
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.160108115046.P8T0
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.180906200142.L1I9
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.210903120917.S3M6
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.131221113658.M9G6
